month,Pop,PfPR U5,year,Run_Number,Habitat_Multiplier,admin_name
11,983.1,0.0,2016,0,0.1,DD
12,981.5333333333,0.0,2016,0,0.1,DD
1,973.4333333333,0.0,2017,0,0.1,DD
2,981.6333333333,0.0,2017,0,0.1,DD
3,992.0666666667,0.0,2017,0,0.1,DD
4,997.8333333333,0.0,2017,0,0.1,DD
5,995.4,0.0,2017,0,0.1,DD
6,989.0666666667,0.0,2017,0,0.1,DD
7,982.5333333333,0.0,2017,0,0.1,DD
8,977.3333333333,0.0,2017,0,0.1,DD
9,962.0,0.0,2017,0,0.1,DD
10,962.0333333333,0.0,2017,0,0.1,DD
11,960.5333333333,0.0,2017,0,0.1,DD
12,972.8,0.0,2017,0,0.1,DD
1,981.3,0.001528584530725,2010,0,0.025118864315095794,BB
2,986.1333333333,0.002568956192537,2010,0,0.025118864315095794,BB
3,990.7,0.003600148043471,2010,0,0.025118864315095794,BB
4,990.0,0.001548821548822,2010,0,0.025118864315095794,BB
5,986.9333333333,0.0002364225884896,2010,0,0.025118864315095794,BB
6,990.3,0.0003365983372042,2010,0,0.025118864315095794,BB
7,997.8666666667,6.680919294495e-05,2010,0,0.025118864315095794,BB
8,998.7,0.0,2010,0,0.025118864315095794,BB
9,998.4333333333,0.001736053149935,2010,0,0.025118864315095794,BB
10,998.1666666667,0.0003339455668726,2010,0,0.025118864315095794,BB
11,1001.833333333,0.0001330893362169,2010,0,0.025118864315095794,BB
12,1003.166666667,0.0,2010,0,0.025118864315095794,BB
1,1011.266666667,0.0,2011,0,0.025118864315095794,BB
2,1012.766666667,0.0,2011,0,0.025118864315095794,BB
3,1003.2,0.0,2011,0,0.025118864315095794,BB
4,1001.5,0.0,2011,0,0.025118864315095794,BB
5,999.8,0.0,2011,0,0.025118864315095794,BB
6,995.2666666667,0.0,2011,0,0.025118864315095794,BB
7,998.3,0.0,2011,0,0.025118864315095794,BB
8,1006.0,0.0,2011,0,0.025118864315095794,BB
9,1003.433333333,0.0,2011,0,0.025118864315095794,BB
10,1000.5,0.0,2011,0,0.025118864315095794,BB
11,1007.766666667,0.0,2011,0,0.025118864315095794,BB
12,1015.4,0.0,2011,0,0.025118864315095794,BB
1,1027.2,0.0,2012,0,0.025118864315095794,BB
2,1032.933333333,0.0,2012,0,0.025118864315095794,BB
3,1031.166666667,0.0,2012,0,0.025118864315095794,BB
4,1036.266666667,0.0,2012,0,0.025118864315095794,BB
5,1034.933333333,0.0,2012,0,0.025118864315095794,BB
6,1034.4,0.0,2012,0,0.025118864315095794,BB
7,1033.2,0.0,2012,0,0.025118864315095794,BB
8,1030.1,0.0,2012,0,0.025118864315095794,BB
9,1029.0,0.0,2012,0,0.025118864315095794,BB
10,1024.6,0.0,2012,0,0.025118864315095794,BB
11,1021.666666667,0.0,2012,0,0.025118864315095794,BB
12,1015.6,0.0,2012,0,0.025118864315095794,BB
1,1013.866666667,0.0,2013,0,0.025118864315095794,BB
2,1010.166666667,0.0,2013,0,0.025118864315095794,BB
